Field Name,Data Type,Description,Category,Required,Default Value,Notes
max_monthly_loss,numeric,Maximum monthly loss,Risk Management,No,,10 to 30 percent
max_position_size,numeric,Maximum position size,Risk Management,No,,1 to 20 percent
max_open_trades,integer,Maximum open trades,Risk Management,No,,1 to 10
stop_loss_type,text,Stop loss type,Risk Management,No,,Fixed Percentage ATR-based Support/Resistance Manual
default_stop_loss,numeric,Default stop loss,Risk Management,No,,0.5 to 10 percent
take_profit_type,text,Take profit type,Risk Management,No,,Fixed R:R Ratio Multiple Targets Trailing Stop Manual
default_risk_reward,numeric,Default risk:reward ratio,Risk Management,No,,1.0 to 10.0
max_consecutive_losses,integer,Maximum consecutive losses,Risk Management,No,,1 to 10
max_drawdown_percentage,numeric,Maximum drawdown percentage,Risk Management,No,,5 to 30 percent
recovery_mode,boolean,Recovery mode enabled,Risk Management,No,false,Advanced setting
recovery_risk_reduction,numeric,Recovery risk reduction,Risk Management,No,,0.1 to 1.0
trades_to_pass,integer,Number of trades needed to pass,Calculated,No,,Calculated value
risk_amount,numeric,Risk amount per trade,Calculated,No,,Calculated value
profit_amount,numeric,Profit target per trade,Calculated,No,,Calculated value
profit_target,numeric,Total profit target,Calculated,No,,Calculated value
profit_target_percentage,numeric,Profit target percentage,Calculated,No,,Calculated value
daily_profit_target,numeric,Daily profit target,Calculated,No,,Calculated value
daily_risk_amount,numeric,Daily risk amount,Calculated,No,,Calculated value
estimated_days_to_pass,integer,Estimated days to pass,Calculated,No,,Calculated value
plan_data,jsonb,Complete plan data as JSON,Risk Management,No,,JSON object with all plan details
risk_per_trade_setting,numeric,Risk per trade setting,Dashboard Settings,No,1.0,From dashboard settings
max_daily_risk_setting,numeric,Max daily risk setting,Dashboard Settings,No,5.0,From dashboard settings
max_drawdown_setting,numeric,Max drawdown setting,Dashboard Settings,No,10.0,From dashboard settings
stop_loss_default_setting,numeric,Default stop loss setting,Dashboard Settings,No,50.0,From dashboard settings
take_profit_default_setting,numeric,Default take profit setting,Dashboard Settings,No,100.0,From dashboard settings
risk_reward_ratio_setting,numeric,Risk reward ratio setting,Dashboard Settings,No,2.0,From dashboard settings
trading_preferences,jsonb,Trading preferences settings,Dashboard Settings,No,,JSON object with trading settings
display_settings,jsonb,Display and theme settings,Dashboard Settings,No,,JSON object with display preferences
notification_settings,jsonb,Notification preferences,Dashboard Settings,No,,JSON object with notification settings
security_settings,jsonb,Security settings,Dashboard Settings,No,,JSON object with security preferences
data_settings,jsonb,Data and export settings,Dashboard Settings,No,,JSON object with data preferences
api_settings,jsonb,API and integration settings,Dashboard Settings,No,,JSON object with API settings
currency,text,User's currency,Dashboard Settings,No,USD,Currency preference
timezone,text,User's timezone,Dashboard Settings,No,America/New_York,Timezone preference
auto_save,boolean,Auto-save enabled,Dashboard Settings,No,true,From dashboard settings
payment_id,uuid,Payment record ID,Payment,No,,Auto-generated payment ID
plan_name_payment,text,Plan name from payment,Payment,No,,From payment form
original_price,numeric,Original plan price,Payment,No,,Before discounts
discount_amount,numeric,Discount amount applied,Payment,No,0.00,From coupon or promotion
final_price,numeric,Final price after discount,Payment,No,,Amount actually charged
coupon_code,text,Coupon code used,Payment,No,,If applicable
payment_method,text,Payment method used,Payment,No,,paypal/crypto/stripe
payment_status,text,Payment status,Payment,No,pending,pending/completed/failed/refunded
transaction_id,text,Payment transaction ID,Payment,No,,From payment processor
payment_processor,text,Payment processor used,Payment,No,,paypal/stripe/crypto
payment_currency,text,Payment currency,Payment,No,USD,Currency used for payment
payment_amount,numeric,Payment amount,Payment,No,,Amount paid
payment_fees,numeric,Payment processing fees,Payment,No,0.00,Fees charged by processor
payment_net_amount,numeric,Net amount received,Payment,No,,Amount after fees
payment_date,timestamptz,Payment completion date,Payment,No,,When payment was completed
payment_verified,boolean,Payment verification status,Payment,No,false,Whether payment is verified
payment_verification_method,text,Payment verification method,Payment,No,,manual/automatic/webhook
crypto_transaction_hash,text,Crypto transaction hash,Payment,No,,For crypto payments
crypto_from_address,text,Crypto sender address,Payment,No,,For crypto payments
crypto_amount,numeric,Crypto amount paid,Payment,No,,For crypto payments
crypto_currency,text,Crypto currency used,Payment,No,,ETH/SOL/etc
crypto_verification_screenshot,text,Crypto payment screenshot,Payment,No,,Base64 encoded image
paypal_order_id,text,PayPal order ID,Payment,No,,For PayPal payments
paypal_payer_id,text,PayPal payer ID,Payment,No,,For PayPal payments
stripe_payment_intent_id,text,Stripe payment intent ID,Payment,No,,For Stripe payments
stripe_customer_id,text,Stripe customer ID,Payment,No,,For Stripe payments
refund_amount,numeric,Refund amount,Payment,No,0.00,If refunded
refund_reason,text,Refund reason,Payment,No,,Reason for refund
refund_date,timestamptz,Refund date,Payment,No,,When refund was processed
ip_address,text,User's IP address,Metadata,No,,For security tracking
user_agent,text,User's browser info,Metadata,No,,For security tracking
consent_accepted,boolean,Consent acceptance status,Metadata,No,false,GDPR compliance
consent_timestamp,timestamptz,Consent acceptance time,Metadata,No,,GDPR compliance
data_capture_complete,boolean,Data capture completion status,Metadata,No,false,Whether all data is captured
last_active,timestamptz,Last activity timestamp,Metadata,No,,User's last activity
created_at,timestamptz,Record creation timestamp,Metadata,No,now(),Auto-generated
updated_at,timestamptz,Record update timestamp,Metadata,No,now(),Auto-updated
plan_activated_at,timestamptz,Plan activation timestamp,Metadata,No,,When plan was activated
